HOME_TEAM,AWAY_TEAM,PTS_home,PTS_away,HOME_TEAM_WINS
1610612740,1610612759,126,117,1
1610612762,1610612764,120,112,1
1610612739,1610612749,114,106,1
1610612755,1610612765,113,93,1
1610612737,1610612741,108,110,0
1610612738,1610612754,112,117,0
1610612751,1610612744,143,113,1
1610612752,1610612761,106,113,0
1610612745,1610612753,110,116,0
1610612750,1610612742,99,104,0
1610612760,1610612757,101,98,1
1610612758,1610612747,134,120,1
1610612746,1610612766,126,105,1
1610612765,1610612762,111,126,0
1610612748,1610612741,103,113,0
1610612752,1610612744,132,94,1
1610612756,1610612764,110,113,0
1610612743,1610612763,105,91,1
1610612739,1610612762,122,99,1
1610612755,1610612761,104,101,1
1610612737,1610612753,126,125,1
1610612745,1610612759,105,124,0
1610612750,1610612742,116,106,1
1610612740,1610612749,119,128,0
1610612760,1610612757,123,121,1
1610612756,1610612747,130,104,1
1610612758,1610612766,119,125,0
1610612738,1610612753,92,95,0
1610612754,1610612752,106,109,0
1610612765,1610612751,121,124,0
1610612761,1610612744,110,126,0
1610612750,1610612741,150,126,1
1610612743,1610612766,119,115,1
1610612747,1610612764,119,117,1
1610612746,1610612764,102,93,1
1610612759,1610612748,101,111,0
1610612739,1610612742,100,99,1
1610612745,1610612757,95,107,0
1610612749,1610612762,123,97,1
1610612760,1610612763,115,109,1
1610612756,1610612740,118,114,1
1610612766,1610612737,106,125,0
1610612765,1610612758,113,122,0
1610612738,1610612753,109,117,0
1610612739,1610612754,118,112,1
1610612755,1610612744,118,106,1
1610612761,1610612751,116,119,0
1610612741,1610612752,91,114,0
1610612760,1610612750,110,112,0
1610612742,1610612757,130,110,1
